The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,en,en,en
The jury further said in term-end presentments that the City Executive Committee  which had over-all charge of the election  `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .,en,en,en
The September-October term jury had been charged by Fulton Superior Court Judge Durwood Pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by Mayor-nominate Ivan Allen Jr. .,np,en,en
`` Only a relative handful of such reports was received ''  the jury said  `` considering the widespread interest in the election  the number of voters and the size of this city '' .,en,en,en
The jury said it did find that many of Georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,en,en,en
It recommended that Fulton legislators act `` to have these laws studied and revised to the end of modernizing and improving them '' .,en,en,en
The grand jury commented on a number of other topics  among them the Atlanta and Fulton County purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' .,en,en,en
However  the jury said it believes `` these two offices should be combined to achieve greater efficiency and reduce the cost of administration '' .,en,en,en
The City Purchasing Department  the jury said  `` is lacking in experienced clerical personnel as a result of city personnel policies '' .,en,en,en
It urged that the city `` take steps to remedy '' this problem .,en,en,en
Implementation of Georgia's automobile title law was also recommended by the outgoing jury .,en,en,en
It urged that the next Legislature `` provide enabling funds and re-set the effective date so that an orderly implementation of the law may be effected '' .,en,en,en
The grand jury took a swipe at the State Welfare Department's handling of federal funds granted for child welfare services in foster homes .,en,en,en
`` This is one of the major items in the Fulton County general assistance program ''  the jury said  but the State Welfare Department `` has seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of Fulton County  which receives none of this money .,en,en,en
The jurors said they realize `` a proportionate distribution of these funds might disable this program in our less populous counties '' .,en,en,en
Nevertheless  `` we feel that in the future Fulton County should receive some portion of these available funds ''  the jurors said .,en,en,en
`` Failure to do this will continue to place a disproportionate burden '' on Fulton taxpayers .,en,en,en
The jury also commented on the Fulton ordinary's court which has been under fire for its practices in the appointment of appraisers  guardians and administrators and the awarding of fees and compensation .,np,en,en
The jury said it found the court `` has incorporated into its operating procedures the recommendations '' of two previous grand juries  the Atlanta Bar Association and an interim citizens committee .,en,en,en
`` These actions should serve to protect in fact and in effect the court's wards from undue costs and its appointed and elected servants from unmeritorious criticisms ''  the jury said .,en,en,en
Regarding Atlanta's new multi-million-dollar airport  the jury recommended `` that when the new management takes charge Jan. 1 the airport be operated in a manner that will eliminate political influences '' .,np,en,en
The jury did not elaborate  but it added that `` there should be periodic surveillance of the pricing practices of the concessionaires for the purpose of keeping the prices reasonable '' .,en,en,en
Ask jail deputies,en,np2,en
On other matters  the jury recommended that : ( 1 ),en,en,en
Four additional deputies be employed at the Fulton County Jail and `` a doctor  medical intern or extern be employed for night and weekend duty at the jail '' .,en,en,en
Fulton legislators `` work with city officials to pass enabling legislation that will permit the establishment of a fair and equitable '' pension plan for city employes .,en,en,en
The jury praised the administration and operation of the Atlanta Police Department  the Fulton Tax Commissioner's Office  the Bellwood and Alpharetta prison farms  Grady Hospital and the Fulton Health Department .,en,en,en
Mayor William B. Hartsfield filed suit for divorce from his wife  Pearl Williams Hartsfield  in Fulton Superior Court Friday .,en,en,en
His petition charged mental cruelty .,en,np2,en
The couple was married Aug. 2  1913 .,en,en,en
They have a son  William Berry Jr.  and a daughter  Mrs. J. M. Cheshire of Griffin .,en,en,en
Attorneys for the mayor said that an amicable property settlement has been agreed upon .,en,en,en
The petition listed the mayor's occupation as `` attorney '' and his age as 71 .,en,en,en
It listed his wife's age as 74 and place of birth as Opelika  Ala. .,en,en,en
The petition said that the couple has not lived together as man and wife for more than a year .,en,en,en
The Hartsfield home is at 637 E. Pelham Rd. Aj .,en,en,en
Henry L. Bowden was listed on the petition as the mayor's attorney .,en,en,en
Hartsfield has been mayor of Atlanta  with exception of one brief interlude  since 1937 .,en,en,en
His political career goes back to his election to city council in 1923 .,en,en,en
The mayor's present term of office expires Jan. 1 .,en,en,en
He will be succeeded by Ivan Allen Jr.  who became a candidate in the Sept. 13 primary after Mayor Hartsfield announced that he would not run for reelection .,en,en,en
Georgia Republicans are getting strong encouragement to enter a candidate in the 1962 governor's race  a top official said Wednesday .,en,en,en
Robert Snodgrass  state GOP chairman  said a meeting held Tuesday night in Blue Ridge brought enthusiastic responses from the audience .,np,en,en
State Party Chairman James W. Dorsey added that enthusiasm was picking up for a state rally to be held Sept. 8 in Savannah at which newly elected Texas Sen. John Tower will be the featured speaker .,en,en,en
In the Blue Ridge meeting  the audience was warned that entering a candidate for governor would force it to take petitions out into voting precincts to obtain the signatures of registered voters .,en,en,en
Despite the warning  there was a unanimous vote to enter a candidate  according to Republicans who attended .,en,en,en
When the crowd was asked whether it wanted to wait one more term to make the race  it voted no -- and there were no dissents .,en,en,en
The largest hurdle the Republicans would have to face is a state law which says that before making a first race  one of two alternative courses must be taken : 1,en,en,en
Five per cent of the voters in each county must sign petitions requesting that the Republicans be allowed to place names of candidates on the general election ballot  or 2,en,en,en
The Republicans must hold a primary under the county unit system -- a system which the party opposes in its platform .,en,en,en
Sam Caldwell  State Highway Department public relations director  resigned Tuesday to work for Lt. Gov. Garland Byrd's campaign .,en,en,en
Caldwell's resignation had been expected for some time .,en,en,en
He will be succeeded by Rob Ledford of Gainesville  who has been an assistant more than three years .,en,en,en
When the gubernatorial campaign starts  Caldwell is expected to become a campaign coordinator for Byrd .,en,en,en
The Georgia Legislature will wind up its 1961 session Monday and head for home -- where some of the highway bond money it approved will follow shortly .,en,en,en
Before adjournment Monday afternoon  the Senate is expected to approve a study of the number of legislators allotted to rural and urban areas to determine what adjustments should be made .,en,en,en
Gov. Vandiver is expected to make the traditional visit to both chambers as they work toward adjournment .,en,en,en
Vandiver likely will mention the $100 million highway bond issue approved earlier in the session as his first priority item .,en,en,en
